Staging Ref,SPUT Staging Ref,Device Size Staging Ref,Number of Occupiers,Start Date,End Date,Average Daily Usage
HH-65-4,,65mm,4,01/04/2017,,0.55
HH-65-5,,65mm,5,01/04/2017,,0.69
HH-65-6,,65mm,6,01/04/2017,,0.82
HH-65-7,,65mm,7,01/04/2017,,0.95
HH-65-8,,65mm,8,01/04/2017,,1.08
HH-65-9,,65mm,9,01/04/2017,,1.21
HH-65-10,,65mm,10,01/04/2017,,1.34
HH-65-11,,65mm,11,01/04/2017,,1.47
HH-65-12,,65mm,12,01/04/2017,,1.6
HH-65-13,,65mm,13,01/04/2017,,1.73
HH-65-14,,65mm,14,01/04/2017,,1.86
HH-65-15,,65mm,15,01/04/2017,,1.99
NHH-65-BW,SPUT002,65mm,,01/04/2017,,6.5
NHH-65-SWW,SPUT004,65mm,,01/04/2017,,6.5
NHH-65-IOS,SPUT006,65mm,,01/04/2020,,6.5
NHH-65-WBT,SPUT008,65mm,,01/04/2022,,6.5
75-DEF,,75mm,,01/04/2017,,0.28
HH-75-1,,75mm,1,01/04/2017,,0.19
HH-75-2,,75mm,2,01/04/2017,,0.28
HH-75-3,,75mm,3,01/04/2017,,0.41
HH-75-4,,75mm,4,01/04/2017,,0.55
HH-75-5,,75mm,5,01/04/2017,,0.69
HH-75-6,,75mm,6,01/04/2017,,0.82
HH-75-7,,75mm,7,01/04/2017,,0.95
HH-75-8,,75mm,8,01/04/2017,,1.08
HH-75-9,,75mm,9,01/04/2017,,1.21
HH-75-10,,75mm,10,01/04/2017,,1.34
HH-75-11,,75mm,11,01/04/2017,,1.47
HH-75-12,,75mm,12,01/04/2017,,1.6
HH-75-13,,75mm,13,01/04/2017,,1.73
HH-75-14,,75mm,14,01/04/2017,,1.86
HH-75-15,,75mm,15,01/04/2017,,1.99
NHH-75-BW,SPUT002,75mm,,01/04/2017,,7.5
NHH-75-SWW,SPUT004,75mm,,01/04/2017,,7.5
NHH-75-IOS,SPUT006,75mm,,01/04/2020,,7.5
NHH-75-WBT,SPUT008,75mm,,01/04/2022,,7.5
80-DEF,,80mm,,01/04/2017,,0.28
HH-80-1,,80mm,1,01/04/2017,,0.19
HH-80-2,,80mm,2,01/04/2017,,0.28
HH-80-3,,80mm,3,01/04/2017,,0.41
HH-80-4,,80mm,4,01/04/2017,,0.55
HH-80-5,,80mm,5,01/04/2017,,0.69
HH-80-6,,80mm,6,01/04/2017,,0.82
HH-80-7,,80mm,7,01/04/2017,,0.95
HH-80-8,,80mm,8,01/04/2017,,1.08
HH-80-9,,80mm,9,01/04/2017,,1.21
HH-80-10,,80mm,10,01/04/2017,,1.34
HH-80-11,,80mm,11,01/04/2017,,1.47
HH-80-12,,80mm,12,01/04/2017,,1.6
HH-80-13,,80mm,13,01/04/2017,,1.73
HH-80-14,,80mm,14,01/04/2017,,1.86
HH-80-15,,80mm,15,01/04/2017,,1.99
NHH-80-BW,SPUT002,80mm,,01/04/2017,,8
NHH-80-SWW,SPUT004,80mm,,01/04/2017,,8
NHH-80-IOS,SPUT006,80mm,,01/04/2020,,8
NHH-80-WBT,SPUT008,80mm,,01/04/2022,,8
